Well,Sample
B2,SA5_CM
C2,SA5_CM
D2,SA5_CM
E2,SA5_MM
F2,SA5_MM
G2,SA5_MM
B3,MM1_CM
C3,MM1_CM
D3,MM1_CM
E3,MM1_MM
F3,MM1_MM
G3,MM1_MM
B4,MM2_CM
C4,MM2_CM
D4,MM2_CM
E4,MM2_MM
F4,MM2_MM
G4,MM2_MM
B5,AC_CM
C5,AC_CM
D5,AC_CM
E5,AC_MM
F5,AC_MM
G5,AC_MM
B6,SA5_CS
C6,SA5_CS
D6,SA5_CS
E6,SA5_SA
F6,SA5_SA
G6,SA5_SA
B7,MM1_CS
C7,MM1_CS
D7,MM1_CS
E7,MM1_SA
F7,MM1_SA
G7,MM1_SA
B8,MM2_CS
C8,MM2_CS
D8,MM2_CS
E8,MM2_SA
F8,MM2_SA
G8,MM2_SA
B9,AC_CS
C9,AC_CS
D9,AC_CS
E9,AC_SA
F9,AC_SA
G9,AC_SA
B10,SA5_SC
C10,SA5_SC
D10,SA5_SC
E10,MM2_SC
F10,MM2_SC
G10,MM2_SC
B11,MM1_SC
C11,MM1_SC
D11,MM1_SC
E11,AC_SC
F11,AC_SC
G11,AC_SC
F12,MC
G12,MC
