Well,Sample
B2,CS1_CM
C2,CS1_CM
D2,CS1_CM
E2,CS1_MM
F2,CS1_MM
G2,CS1_MM
B3,CS2_CM
C3,CS2_CM
D3,CS2_CM
E3,CS2_MM
F3,CS2_MM
G3,CS2_MM
B4,CS3_CM
C4,CS3_CM
D4,CS3_CM
E4,CS3_MM
F4,CS3_MM
G4,CS3_MM
B5,AC_CM
C5,AC_CM
D5,AC_CM
E5,AC_MM
F5,AC_MM
G5,AC_MM
B6,CS1_CS
C6,CS1_CS
D6,CS1_CS
E6,CS1_SA
F6,CS1_SA
G6,CS1_SA
B7,CS2_CS
C7,CS2_CS
D7,CS2_CS
E7,CS2_SA
F7,CS2_SA
G7,CS2_SA
B8,CS3_CS
C8,CS3_CS
D8,CS3_CS
E8,CS3_SA
F8,CS3_SA
G8,CS3_SA
B9,AC_CS
C9,AC_CS
D9,AC_CS
E9,AC_SA
F9,AC_SA
G9,AC_SA
B10,CS1_SC
C10,CS1_SC
D10,CS1_SC
E10,CS3_SC
F10,CS3_SC
G10,CS3_SC
B11,CS2_SC
C11,CS2_SC
D11,CS2_SC
E11,AC_SC
F11,AC_SC
G11,AC_SC
F12,MC
G12,MC
