Well,Sample
B2,CM4_CM
C2,CM4_CM
D2,CM4_CM
E2,CM4_MM
F2,CM4_MM
G2,CM4_MM
B3,SC4_CM
C3,SC4_CM
D3,SC4_CM
E3,SC4_MM
F3,SC4_MM
G3,SC4_MM
B4,SA1_CM
C4,SA1_CM
D4,SA1_CM
E4,SA1_MM
F4,SA1_MM
G4,SA1_MM
B5,AC_CM
C5,AC_CM
D5,AC_CM
E5,AC_MM
F5,AC_MM
G5,AC_MM
B6,CM4_CS
C6,CM4_CS
D6,CM4_CS
E6,CM4_SA
F6,CM4_SA
G6,CM4_SA
B7,SC4_CS
C7,SC4_CS
D7,SC4_CS
E7,SC4_SA
F7,SC4_SA
G7,SC4_SA
B8,SA1_CS
C8,SA1_CS
D8,SA1_CS
E8,SA1_SA
F8,SA1_SA
G8,SA1_SA
B9,AC_CS
C9,AC_CS
D9,AC_CS
E9,AC_SA
F9,AC_SA
G9,AC_SA
B10,CM4_SC
C10,CM4_SC
D10,CM4_SC
E10,SA1_SC
F10,SA1_SC
G10,SA1_SC
B11,SC4_SC
C11,SC4_SC
D11,SC4_SC
E11,AC_SC
F11,AC_SC
G11,AC_SC
F12,MC
G12,MC
