Well,Sample
B2,SC1_CM
C2,SC1_CM
D2,SC1_CM
E2,SC1_MM
F2,SC1_MM
G2,SC1_MM
B3,SC2_CM
C3,SC2_CM
D3,SC2_CM
E3,SC2_MM
F3,SC2_MM
G3,SC2_MM
B4,SC3_CM
C4,SC3_CM
D4,SC3_CM
E4,SC3_MM
F4,SC3_MM
G4,SC3_MM
B5,AC_CM
C5,AC_CM
D5,AC_CM
E5,AC_MM
F5,AC_MM
G5,AC_MM
B6,SC1_CS
C6,SC1_CS
D6,SC1_CS
E6,SC1_SA
F6,SC1_SA
G6,SC1_SA
B7,SC2_CS
C7,SC2_CS
D7,SC2_CS
E7,SC2_SA
F7,SC2_SA
G7,SC2_SA
B8,SC3_CS
C8,SC3_CS
D8,SC3_CS
E8,SC3_SA
F8,SC3_SA
G8,SC3_SA
B9,AC_CS
C9,AC_CS
D9,AC_CS
E9,AC_SA
F9,AC_SA
G9,AC_SA
B10,SC1_SC
C10,SC1_SC
D10,SC1_SC
E10,SC3_SC
F10,SC3_SC
G10,SC3_SC
B11,SC2_SC
C11,SC2_SC
D11,SC2_SC
E11,AC_SC
F11,AC_SC
G11,AC_SC
F12,MC
G12,MC
