Well,Sample
B2,CS4_CM
C2,CS4_CM
D2,CS4_CM
E2,CS4_MM
F2,CS4_MM
G2,CS4_MM
B3,CS5_CM
C3,CS5_CM
D3,CS5_CM
E3,CS5_MM
F3,CS5_MM
G3,CS5_MM
B4,CS6_CM
C4,CS6_CM
D4,CS6_CM
E4,CS6_MM
F4,CS6_MM
G4,CS6_MM
B5,AC_CM
C5,AC_CM
D5,AC_CM
E5,AC_MM
F5,AC_MM
G5,AC_MM
B6,CS4_CS
C6,CS4_CS
D6,CS4_CS
E6,CS4_SA
F6,CS4_SA
G6,CS4_SA
B7,CS5_CS
C7,CS5_CS
D7,CS5_CS
E7,CS5_SA
F7,CS5_SA
G7,CS5_SA
B8,CS6_CS
C8,CS6_CS
D8,CS6_CS
E8,CS6_SA
F8,CS6_SA
G8,CS6_SA
B9,AC_CS
C9,AC_CS
D9,AC_CS
E9,AC_SA
F9,AC_SA
G9,AC_SA
B10,CS4_SC
C10,CS4_SC
D10,CS4_SC
E10,CS6_SC
F10,CS6_SC
G10,CS6_SC
B11,CS5_SC
C11,CS5_SC
D11,CS5_SC
E11,AC_SC
F11,AC_SC
G11,AC_SC
F12,MC
G12,MC
