Well,Sample
B2,CM1_CM
C2,CM1_CM
D2,CM1_CM
E2,CM1_MM
F2,CM1_MM
G2,CM1_MM
B3,CM2_CM
C3,CM2_CM
D3,CM2_CM
E3,CM2_MM
F3,CM2_MM
G3,CM2_MM
B4,CM3_CM
C4,CM3_CM
D4,CM3_CM
E4,CM3_MM
F4,CM3_MM
G4,CM3_MM
B5,AC_CM
C5,AC_CM
D5,AC_CM
E5,AC_MM
F5,AC_MM
G5,AC_MM
B6,CM1_CS
C6,CM1_CS
D6,CM1_CS
E6,CM1_SA
F6,CM1_SA
G6,CM1_SA
B7,CM2_CS
C7,CM2_CS
D7,CM2_CS
E7,CM2_SA
F7,CM2_SA
G7,CM2_SA
B8,CM3_CS
C8,CM3_CS
D8,CM3_CS
E8,CM3_SA
F8,CM3_SA
G8,CM3_SA
B9,AC_CS
C9,AC_CS
D9,AC_CS
E9,AC_SA
F9,AC_SA
G9,AC_SA
B10,CM1_SC
C10,CM1_SC
D10,CM1_SC
E10,CM3_SC
F10,CM3_SC
G10,CM3_SC
B11,CM2_SC
C11,CM2_SC
D11,CM2_SC
E11,AC_SC
F11,AC_SC
G11,AC_SC
F12,MC
G12,MC
